Country,GDP,Population,Unemployment Rate,Average Salary,Internet Users
USA,21427700,331449281,5.8,65261,312322257
China,14342903,1439323774,3.6,12385,904853124
Japan,5064873,126050796,2.8,39915,118626672
Germany,3845630,83752855,3.1,51120,72454768
UK,2827113,67948282,4.5,43859,62752440
India,2875142,1393409038,5.4,2195,687243231
France,2715518,67524760,8.5,42315,57887708
Brazil,1839758,213993437,13.4,8795,150899992
Canada,16423465,38234535,7.5,50692,34508023
Australia,1384245,22312344,5.7,49576,22008038
